"group","step","threshold","reconstruction","completion_acc","completion_ppl","actual_latent_per_byte","soft_latent_per_byte","chunks_per_byte"
"p4_b_other_memory_only","20000","0.7","0.5712738037109375","0.13198443269357085","37.615716133272514","0.1124114990234375","0.5326069481670856","0.0625457763671875"
"p4_c_other_plus_current_detached","3000","0.3","0.9752349853515625","0.12025726772844791","45.42041365890371","1","0.6761824302375317","0.0625"
"p4_c_other_plus_current_detached","3000","0.4","0.9752349853515625","0.12090378534048796","45.171475412555075","0.999786376953125","0.6761824302375317","0.0625"
"p4_c_other_plus_current_detached","3000","0.5","0.9743499755859375","0.12904798984527588","41.1320701609801","0.956024169921875","0.6761824302375317","0.0625"
"p4_c_other_plus_current_detached","3000","0.6","0.9351654052734375","0.13334318809211254","40.15304647245961","0.728759765625","0.6761824302375317","0.0625"
"p4_c_other_plus_current_detached","3000","0.7","0.6955718994140625","0.1246705949306488","50.769601808332986","0.3297271728515625","0.6761824302375317","0.0625"
"p4_c_other_plus_current_detached","6000","0.3","0.8621673583984375","0.12547470536082983","39.22215579575964","0.9368896484375","0.582529716193676","0.06256103515625"
"p4_c_other_plus_current_detached","6000","0.4","0.848663330078125","0.12566575407981873","39.10051094856319","0.847015380859375","0.582529716193676","0.06256103515625"
"p4_c_other_plus_current_detached","6000","0.5","0.8187408447265625","0.12669418845325708","38.608919743116026","0.7233734130859375","0.582529716193676","0.06256103515625"
"p4_c_other_plus_current_detached","6000","0.6","0.7348480224609375","0.1273596966639161","38.8270075143692","0.4932708740234375","0.582529716193676","0.06256103515625"
"p4_c_other_plus_current_detached","6000","0.7","0.51495361328125","0.12581067625433207","39.98141327421291","0.1794586181640625","0.582529716193676","0.06256103515625"
"p4_c_other_plus_current_detached","9000","0.3","0.9041595458984375","0.12296239659190178","43.23553071487881","0.9838104248046875","0.5584260188043118","0.0626983642578125"
"p4_c_other_plus_current_detached","9000","0.4","0.892578125","0.12455509789288044","42.36644536753744","0.86749267578125","0.5584260188043118","0.0626983642578125"
"p4_c_other_plus_current_detached","9000","0.5","0.8601531982421875","0.1272563966922462","42.287741271294905","0.6525421142578125","0.5584260188043118","0.0626983642578125"
"p4_c_other_plus_current_detached","9000","0.6","0.715576171875","0.12773193093016744","42.20533743264071","0.3346405029296875","0.5584260188043118","0.0626983642578125"
